t	CO	PV
742	100	63.46433770014556
743	100	63.90101892285298
744	100	63.46433770014556
745	100	64.04657933042213
746	100	63.6098981077147
747	100	64.04657933042213
748	100	63.6098981077147
749	100	64.19213973799127
750	100	63.75545851528384
751	100	63.75545851528384
752	100	64.19213973799127
753	0	63.90101892285298
754	0	64.3377001455604
755	0	64.3377001455604
756	0	63.90101892285298
757	0	64.48326055312955
758	0	64.04657933042213
759	0	64.48326055312955
760	0	64.62882096069869
761	0	64.04657933042213
762	0	64.19213973799127
763	0	64.62882096069869
764	0	64.19213973799127
765	0	64.77438136826783
766	0	64.3377001455604
767	0	64.3377001455604
768	0	64.48326055312955
769	0	64.77438136826783
770	0	64.91994177583697
771	0	64.91994177583697
772	0	64.48326055312955
773	0	65.06550218340611
774	0	64.62882096069869
775	0	65.06550218340611
776	0	65.21106259097525
777	0	64.62882096069869
778	0	64.77438136826783
779	0	65.21106259097525
780	0	64.77438136826783
781	0	65.3566229985444
782	0	64.91994177583697
783	0	64.91994177583697
784	0	65.3566229985444
785	0	65.06550218340611
786	0	65.50218340611355
787	0	65.06550218340611
788	0	65.21106259097525
789	0	65.50218340611355
790	0	65.64774381368268
791	0	65.64774381368268
792	0	65.79330422125182
793	0	65.21106259097525
794	0	65.3566229985444
795	0	65.3566229985444
796	0	65.79330422125182
797	0	65.50218340611355
798	0	65.93886462882097
799	0	65.93886462882097
800	0	65.50218340611355
801	0	66.0844250363901
802	0	65.64774381368268
803	0	66.0844250363901
804	0	65.64774381368268
805	0	66.22998544395924
806	0	65.79330422125182
807	0	65.79330422125182
808	0	65.93886462882097
809	0	66.22998544395924
810	0	66.37554585152839
811	0	65.93886462882097
812	0	66.37554585152839
813	0	66.0844250363901
814	0	66.52110625909754
815	0	66.52110625909754
816	0	66.66666666666666
817	0	66.0844250363901
818	0	66.22998544395924
819	0	66.22998544395924
820	0	66.37554585152839
821	0	66.66666666666666
822	0	66.8122270742358
823	0	66.37554585152839
824	0	66.8122270742358
825	0	66.52110625909754
826	0	66.95778748180496
827	0	66.52110625909754
828	0	66.66666666666666
829	0	66.95778748180496
830	0	67.10334788937409
831	0	67.10334788937409
832	0	66.66666666666666
833	0	67.24890829694323
834	0	66.8122270742358
835	0	67.24890829694323
836	0	67.10334788937409
837	0	67.10334788937409
838	0	67.24890829694323
839	0	66.8122270742358
840	0	67.24890829694323
841	0	66.95778748180496
842	0	67.39446870451238
843	0	66.95778748180496
844	0	67.39446870451238
